mes,año,distrito,suma_residuos
ENERO,2022,CENTRO ,272.88
ENERO,2022,TETUÁN,244.28
ENERO,2022,CHAMBERÍ,543.4
ENERO,2022,ARGANZUELA,294.6
ENERO,2022,RETIRO,342.83
ENERO,2022,SALAMANCA,667.792
ENERO,2022,CHAMARTÍN,174.66
ENERO,2022,FUENCARRAL,0.0
ENERO,2022,MONCLOA,0.0
ENERO,2022,LATINA,0.0
ENERO,2022,CIUDAD LINEAL,29.633
ENERO,2022,HORTALEZA,61.59
ENERO,2022,SAN BLAS,45.396
ENERO,2022,BARAJAS,39.352000000000004
ENERO,2022,PUENTE DE VALLECAS,7.182
ENERO,2022,VILLA DE VALLECAS,3.588
ENERO,2022,MORATALAZ,7.318
ENERO,2022,VICÁLVARO,551.392
ENERO,2022,CARABANCHEL,1207.735
ENERO,2022,USERA,705.312
ENERO,2022,VILLAVERDE,659.301
FEBRERO,2022,CENTRO ,8.68
FEBRERO,2022,TETUÁN,165.8
FEBRERO,2022,CHAMBERÍ,366.44
FEBRERO,2022,ARGANZUELA,450.47999999999996
FEBRERO,2022,RETIRO,396.36
FEBRERO,2022,SALAMANCA,785.038
FEBRERO,2022,CHAMARTÍN,451.23
FEBRERO,2022,FUENCARRAL,408.16
FEBRERO,2022,MONCLOA,1.04
FEBRERO,2022,LATINA,584.1
FEBRERO,2022,CIUDAD LINEAL,23.655
FEBRERO,2022,HORTALEZA,55.195
FEBRERO,2022,SAN BLAS,44.55
FEBRERO,2022,BARAJAS,34.3
FEBRERO,2022,PUENTE DE VALLECAS ,2.12
FEBRERO,2022,VILLA DE VALLECAS ,1.62
FEBRERO,2022,MORATALAZ,1.56
FEBRERO,2022,VICÁLVARO,1.28
FEBRERO,2022,CARABANCHEL,503.356
FEBRERO,2022,USERA,314.598
FEBRERO,2022,VILLAVERDE,440.436
MARZO,2022,CENTRO ,14.28
MARZO,2022,TETUÁN,264.04
MARZO,2022,CHAMBERÍ,5.04
MARZO,2022,ARGANZUELA,656.39
MARZO,2022,RETIRO,683.77
MARZO,2022,SALAMANCA,837.12
MARZO,2022,CHAMARTÍN,1455.222
MARZO,2022,FUENCARRAL,894.26
MARZO,2022,MONCLOA,828.11
MARZO,2022,LATINA,10.26
MARZO,2022,CIUDAD LINEAL,38.491
MARZO,2022,HORTALEZA,72.383
MARZO,2022,SAN BLAS,59.199
MARZO,2022,BARAJAS,45.307
MARZO,2022,PUENTE DE VALLECAS ,489.062
MARZO,2022,VILLA DE VALLECAS ,777.78
MARZO,2022,MORATALAZ,558.375
MARZO,2022,VICÁLVARO,514.88
MARZO,2022,CARABANCHEL,727.59
MARZO,2022,USERA,373.088
MARZO,2022,VILLAVERDE,466.392
ABRIL,2022,CENTRO ,12.1
ABRIL,2022,TETUÁN,185.46
ABRIL,2022,CHAMBERÍ,583.26
ABRIL,2022,ARGANZUELA,320.97999999999996
ABRIL,2022,RETIRO,273.34
ABRIL,2022,SALAMANCA,457.57
ABRIL,2022,CHAMARTÍN,293.54
ABRIL,2022,FUENCARRAL,906.74
ABRIL,2022,MONCLOA,830.46
ABRIL,2022,LATINA,43.1
ABRIL,2022,CIUDAD LINEAL,243.8
ABRIL,2022,HORTALEZA,344.33000000000004
ABRIL,2022,SAN BLAS,248.11499999999998
ABRIL,2022,BARAJAS,167.575
ABRIL,2022,PUENTE DE VALLECAS ,351.942
ABRIL,2022,VILLA DE VALLECAS ,155.118
ABRIL,2022,MORATALAZ,403.648
ABRIL,2022,VICÁLVARO,103.412
ABRIL,2022,CARABANCHEL,511.904
ABRIL,2022,USERA,319.94
ABRIL,2022,VILLAVERDE,447.916
MAYO,2022,CENTRO ,20.02
MAYO,2022,TETUÁN,364.78000000000003
MAYO,2022,CHAMBERÍ,1224.3
MAYO,2022,ARGANZUELA,337.1
MAYO,2022,RETIRO,314.25
MAYO,2022,SALAMANCA,595.88
MAYO,2022,CHAMARTÍN,318.88
MAYO,2022,FUENCARRAL,638.92
MAYO,2022,MONCLOA,570.64
MAYO,2022,LATINA,64.96000000000001
MAYO,2022,CIUDAD LINEAL,262.50100000000003
MAYO,2022,HORTALEZA,369.52
MAYO,2022,SAN BLAS,265.384
MAYO,2022,BARAJAS,178.36599999999999
MAYO,2022,PUENTE DE VALLECAS ,400.822
MAYO,2022,VILLA DE VALLECAS ,154.03799999999998
MAYO,2022,MORATALAZ,301.46799999999996
MAYO,2022,VICÁLVARO,121.332
MAYO,2022,CARABANCHEL,384.207
MAYO,2022,USERA,204.253
MAYO,2022,VILLAVERDE,297.5
JUNIO,2022,CENTRO ,129.98000000000002
JUNIO,2022,TETUÁN,253.29999999999998
JUNIO,2022,CHAMBERÍ,521.8199999999999
JUNIO,2022,ARGANZUELA,319.90000000000003
JUNIO,2022,RETIRO,282.86
JUNIO,2022,SALAMANCA,30.139999999999997
JUNIO,2022,CHAMARTÍN,115.5
JUNIO,2022,FUENCARRAL,450.93999999999994
JUNIO,2022,MONCLOA,356.04
JUNIO,2022,LATINA,138.2
JUNIO,2022,CIUDAD LINEAL,230.78
JUNIO,2022,HORTALEZA,348.21500000000003
JUNIO,2022,SAN BLAS,266.65999999999997
JUNIO,2022,BARAJAS,169.245
JUNIO,2022,PUENTE DE VALLECAS ,364.01300000000003
JUNIO,2022,VILLA DE VALLECAS ,155.722
JUNIO,2022,MORATALAZ,194.868
JUNIO,2022,VICÁLVARO,97.057
JUNIO,2022,CARABANCHEL,301.611
JUNIO,2022,USERA,188.507
JUNIO,2022,VILLAVERDE,263.91
JULIO,2022,CENTRO ,641.6999999999999
JULIO,2022,TETUÁN,805.72
JULIO,2022,CHAMBERÍ,425.15999999999997
JULIO,2022,ARGANZUELA,1253.4
JULIO,2022,RETIRO,229.22
JULIO,2022,SALAMANCA,124.58000000000001
JULIO,2022,CHAMARTÍN,237.94
JULIO,2022,FUENCARRAL,187.5
JULIO,2022,MONCLOA,609.2600000000001
JULIO,2022,LATINA,595.72
JULIO,2022,CIUDAD LINEAL,250.742
JULIO,2022,HORTALEZA,339.853
JULIO,2022,SAN BLAS,252.20700000000002
JULIO,2022,BARAJAS,171.79799999999997
JULIO,2022,PUENTE DE VALLECAS ,80.131
JULIO,2022,VILLA DE VALLECAS ,33.638999999999996
JULIO,2022,MORATALAZ,89.704
JULIO,2022,VICÁLVARO,22.426
JULIO,2022,CARABANCHEL,254.656
JULIO,2022,USERA,159.16000000000003
JULIO,2022,VILLAVERDE,222.824
AGOSTO,2022,CENTRO ,529.64
AGOSTO,2022,TETUÁN,476.84000000000003
AGOSTO,2022,CHAMBERÍ,475.6
AGOSTO,2022,ARGANZUELA,35.4
