OBJECTID,Codigo_Interno_del_Situad,Tipo_Contenedor,Modelo,Descripcion_Modelo,Cantidad,Lote,Distrito,Barrio,Tipo_Via,Nombre,Numero,Coordenada_X,Coordenada_Y,Longitud,Latitud,Direccion
6,,ENVASES,E0800CT,,,2,HORTALEZA,PINAR DEL REY,,,,444913.3554,4481010.887,-364989885,40.47795808,
9,,ENVASES,E0800CT,,,2,HORTALEZA,PINAR DEL REY,,,,444698.9997,4480417.077,-365237584,40.47259451,
12,,ENVASES,E0800CT,,,2,HORTALEZA,PINAR DEL REY,,,,444706.8168,4480331.545,-365227617,40.47182452,
19,,ENVASES,E0800CT,,,2,HORTALEZA,PINAR DEL REY,,,,445437.0476,4480546.963,-364368092,40.4738134,
20,,ENVASES,E0800CT,,,2,HORTALEZA,PINAR DEL REY,,,,445436.9891,4480546.945,-364368161,40.47381324,
21,,ENVASES,E0800CT,,,2,HORTALEZA,PINAR DEL REY,,,,445437.0684,4480546.956,-364368067,40.47381334,
25,,ENVASES,E0800CT,,,2,HORTALEZA,PINAR DEL REY,,,,445541.1041,4480560.087,-364245456,40.47393845,
30,,ENVASES,E0800CT,,,2,CHAMARTIN,HISPANOAMERICA,,,,443546.0,4478701.0,-366582403,40.45705772,
31,,ENVASES,E0800CT,,,2,CHAMARTIN,HISPANOAMERICA,,,,443536.0,4478843.0,-366595459,40.45833624,
32,,ENVASES,E0800CT,,,2,CHAMARTIN,CASTILLA,,,,441968.0,4480959.0,-368464040,40.47729006,
33,,ENVASES,E0800CT,,,2,CHAMARTIN,PROSPERIDAD,,,,442733.0,4476801.0,-367524068,40.43988599,
34,,ENVASES,E0800CT,,,2,CHAMARTIN,CASTILLA,,,,441740.0,4480126.0,-368725356,40.46977009,
35,,ENVASES,E0800CT,,,2,CHAMARTIN,CASTILLA,,,,441805.0,4480433.0,-368651502,40.47254023,
36,,ENVASES,E0800CT,,,2,CHAMARTIN,CASTILLA,,,,441870.0,4480932.0,-368579401,40.47703998,
37,,ENVASES,E0800CT,,,2,CHAMARTIN,CASTILLA,,,,441982.0,4481022.0,-368448101,40.47785857,
38,,ENVASES,E0800CT,,,2,CHAMARTIN,CASTILLA,,,,441821.0,4480171.0,-368630225,40.47018114,
39,,ENVASES,E0800CT,,,2,CHAMARTIN,CASTILLA,,,,441891.0,4480611.0,-368551687,40.47414975,
40,,ENVASES,E0800CT,,,2,CHAMARTIN,CASTILLA,,,,441870.0,4480932.0,-368579401,40.47703998,
41,,ENVASES,E0800CT,,,2,CHAMARTIN,HISPANOAMERICA,,,,443558.0,4478438.0,-366565913,40.4546893,
42,,ENVASES,E0800CT,,,2,CHAMARTIN,HISPANOAMERICA,,,,443546.0,4478701.0,-366582403,40.45705772,
43,,ENVASES,E0800CT,,,2,CHAMARTIN,CASTILLA,,,,441808.0,4480111.0,-368645009,40.46963973,
44,,ENVASES,E0800CT,,,2,CHAMARTIN,CASTILLA,,,,441767.0,4480061.0,-368692912,40.46918643,
45,,ENVASES,E0800CT,,,2,CHAMARTIN,PROSPERIDAD,,,,442606.0,4476855.0,-367674292,40.44036369,
46,,ENVASES,E0800CT,,,2,CHAMARTIN,PROSPERIDAD,,,,443775.0,4477627.0,-366302825,40.44739812,
47,,ENVASES,E0800CT,,,2,CHAMARTIN,HISPANOAMERICA,,,,443619.0,4478461.0,-366494180,40.45490064,
48,,ENVASES,E0800CT,,,2,CHAMARTIN,CASTILLA,,,,441795.0,4480273.0,-368661830,40.47109818,
49,,ENVASES,E0800CT,,,2,CHAMARTIN,HISPANOAMERICA,,,,443582.0,4478312.0,-366536490,40.45355586,
50,,ENVASES,E0800CT,,,2,CHAMARTIN,CIUDAD JARDIN,,,,443028.0,4477899.0,-367186101,40.44979757,
51,,ENVASES,E0800CT,,,2,CHAMARTIN,CASTILLA,,,,441968.0,4480960.0,-368464049,40.47729907,
52,,ENVASES,E0800CT,,,2,CHAMARTIN,CASTILLA,,,,441786.0,4480143.0,-368671253,40.46992645,
53,,ENVASES,E0800CT,,,2,CHAMARTIN,PROSPERIDAD,,,,442618.0,4476857.0,-367660162,40.44038254,
54,,ENVASES,E0800CT,,,2,CHAMARTIN,HISPANOAMERICA,,,,443607.0,4478614.0,-366509691,40.45627812,
55,,ENVASES,E0800CT,,,2,CHAMARTIN,CASTILLA,,,,441928.0,4481204.0,-368513471,40.47949432,
56,,ENVASES,E0800CT,,,2,CHAMARTIN,CASTILLA,,,,441838.0,4480381.0,-368612098,40.4720741,
57,,ENVASES,E0800CT,,,2,CHAMARTIN,CASTILLA,,,,441901.0,4481077.0,-368544160,40.47834837,
58,,ENVASES,E0800CT,,,2,CHAMARTIN,CASTILLA,,,,441838.0,4480381.0,-368612098,40.4720741,
59,,ENVASES,E0800CT,,,2,CHAMARTIN,CASTILLA,,,,441928.0,4481204.0,-368513471,40.47949432,
60,,ENVASES,E0800CT,,,2,CHAMARTIN,CASTILLA,,,,441808.0,4480111.0,-368645009,40.46963973,
61,,ENVASES,E0800CT,,,2,CHAMARTIN,PROSPERIDAD,,,,442687.0,4476765.0,-367577978,40.43955852,
62,,ENVASES,E0800CT,,,2,CHAMARTIN,HISPANOAMERICA,,,,443494.0,4478744.0,-366644111,40.45744155,
63,,ENVASES,E0800CT,,,2,CHAMARTIN,CIUDAD JARDIN,,,,443134.0,4477892.0,-367061043,40.44974177,
64,,ENVASES,E0800CT,,,2,CHAMARTIN,HISPANOAMERICA,,,,443508.0,4478408.0,-366624610,40.45441565,
