OBJECTID,Codigo_Interno_del_Situad,Tipo_Contenedor,Modelo,Descripcion_Modelo,Cantidad,Lote,Distrito,Barrio,Tipo_Via,Nombre,Numero,Coordenada_X,Coordenada_Y,Longitud,Latitud,Direccion
1,,ORGANICA,O0800CT,,,2,HORTALEZA,PINAR DEL REY,,,,445712.5355,4480506.666,-364042772,40.47346844,
7,,ORGANICA,O0800CT,,,2,HORTALEZA,PINAR DEL REY,,,,444913.3554,4481010.887,-364989885,40.47795808,
8,,ORGANICA,O0800CT,,,2,HORTALEZA,PINAR DEL REY,,,,444913.3554,4481010.887,-364989885,40.47795808,
11,,ORGANICA,O0800CT,,,2,HORTALEZA,PINAR DEL REY,,,,444692.8579,4480505.005,-365245595,40.4733862,
14,,ORGANICA,O0800CT,,,2,HORTALEZA,PINAR DEL REY,,,,444726.0,4480355.0,-365205193,40.47203709,
15,,ORGANICA,O0800CT,,,2,HORTALEZA,PINAR DEL REY,,,,444783.0,4480267.0,-365137190,40.47124813,
17,,ORGANICA,O0800CT,,,2,HORTALEZA,PINAR DEL REY,,,,445436.9925,4480547.007,-364368157,40.47381379,
18,,ORGANICA,O0800CT,,,2,HORTALEZA,PINAR DEL REY,,,,445437.0684,4480546.956,-364368067,40.47381334,
23,,ORGANICA,O0800CT,,,2,HORTALEZA,PINAR DEL REY,,,,445486.0311,4480555.022,-364310379,40.47388921,
24,,ORGANICA,O0800CT,,,2,HORTALEZA,PINAR DEL REY,,,,445541.1041,4480560.087,-364245456,40.47393845,
27,,ORGANICA,O0800CT,,,2,HORTALEZA,PINAR DEL REY,,,,445165.0063,4480610.955,-364689554,40.47437196,
28,,ORGANICA,O0800CT,,,2,HORTALEZA,PINAR DEL REY,,,,444723.7796,4479886.756,-365203732,40.46781877,
29,,ORGANICA,O0800CT,,,2,HORTALEZA,PINAR DEL REY,,,,444842.0,4479915.0,-365064534,40.46808107,
841,,ORGANICA,O0800CT,,,2,HORTALEZA,CANILLAS,,,,445219.1088,4479459.058,-364615786,40.46399866,
3310,,ORGANICA,O0800CT,,,1,TETUAN,BERRUGUETE,,,,439911.51,4478899.55,-370870534,40.45859149,
5611,,ORGANICA,O0800CT,,,2,HORTALEZA,CANILLAS,,,,445169.0,4479454.0,-364674843,40.46394979,
6030,,ORGANICA,R0800CT,,,2,HORTALEZA,PINAR DEL REY,,,,444969.6423,4480213.197,-364916563,40.47077583,
6685,,ORGANICA,R0800CT,,,2,HORTALEZA,PINAR DEL REY,,,,444890.8083,4480175.52,-365009226,40.47043119,
6833,,ORGANICA,R0800CT,,,2,HORTALEZA,PINAR DEL REY,,,,444890.6446,4480175.41,-365009418,40.47043019,
7140,,ORGANICA,O0800CT,,,2,HORTALEZA,CANILLAS,,,,445208.0,4479589.0,-364630010,40.46516852,
7344,,ORGANICA,O0800CT,,,2,HORTALEZA,PINAR DEL REY,,,,445712.0,4480701.0,-364045068,40.47521906,
9332,,ORGANICA,R0800CT,,,3,PUENTE DE VALLECAS,NUMANCIA,,,,443962.91,4472151.35,-366032995,40.39808318,
9646,,ORGANICA,O0800CT,,,3,PUENTE DE VALLECAS,NUMANCIA,,,,443759.2534,4472580.65,-366276757,40.40193684,
9943,,ORGANICA,O0800CT,,,3,PUENTE DE VALLECAS,PORTAZGO,,,,444702.65,4470773.95,-365149394,40.38572418,
10980,,ORGANICA,O0800CT,,,1,TETUAN,BERRUGUETE,,,,440322.37,4479340.92,-370390136,40.46259714,
15530,,ORGANICA,O3200CL,,,3,PUENTE DE VALLECAS,NUMANCIA,,,,443385.812,4472300.5,-366714318,40.39938778,
15602,,ORGANICA,O3200CL,,,3,PUENTE DE VALLECAS,PALOMERAS SURESTE,,,,445482.09,4471329.82,-364235898,40.39078317,
15608,,ORGANICA,O3200CL,,,3,PUENTE DE VALLECAS,NUMANCIA,,,,444462.75,4472629.73,-365448203,40.4024262,
15611,,ORGANICA,O3200CL,,,3,PUENTE DE VALLECAS,NUMANCIA,,,,443573.76,4472226.42,-366492198,40.39873318,
15614,,ORGANICA,O3200CL,,,3,PUENTE DE VALLECAS,PALOMERAS SURESTE,,,,446649.46,4470515.98,-362853704,40.38352716,
15617,,ORGANICA,O3200CL,,,3,PUENTE DE VALLECAS,PORTAZGO,,,,445430.03,4471722.82,-364300602,40.39432015,
15621,,ORGANICA,O3200CL,,,3,PUENTE DE VALLECAS,PORTAZGO,,,,444786.28,4470638.57,-365049697,40.38451014,
15622,,ORGANICA,O3200CL,,,3,PUENTE DE VALLECAS,PORTAZGO,,,,444776.05,4470529.42,-365060803,40.38352617,
