COD_TIPO_DATO,TIPO_DATO,IDENTIFICADOR_MINT,COD_NDP,DIRECCION_COMPLETA,DIRECCION_AUXILIAR,COD_VIAL,CLASE_VIAL,PARTICULAS_VIAL,NOMBRE_VIAL,TIPO_NÚMERO,NÚMERO,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,UTMX,UTMY,LATITUD,LONGITUD,DÍA_SEMANA,TURNO,HORA_INICIO,HORA_FINAL,CreationDate,Creator,EditDate,Editor,ObjectId
,Punto Limpio Móvil,,,"Calle Arrieta, 15 ",,,Calle,,Arrieta,número,15,,,1,CENTRO,439675,4474526,40.41918013,-3.711069993,Martes,Mañana,1716287400000,1716292800000,1716314723788,Esri_Madrid,1716314723788,Esri_Madrid,1
,Punto Limpio Móvil,,,"Calle Barquillo, 4 ",,,Calle,,Barquillo,número,4,,,1,CENTRO,440994,4474572,40.41969013,-3.695529994,Sabado,Mañana,1716274800000,1716280200000,1716314723788,Esri_Madrid,1716314723788,Esri_Madrid,2
,Punto Limpio Móvil,,,"Plaza Cebada, 5-7 ",,,Plaza,,Cebada,número,5-7,,,1,CENTRO,439790,4473664,40.41132,-3.70927,Sabado,Tarde,1716300000000,1716305400000,1716314723788,Esri_Madrid,1716314723788,Esri_Madrid,3
,Punto Limpio Móvil,,,"Calle Conde Duque, 30 ",,,Calle,,Conde Duque,número,30,,,1,CENTRO,439762,4475482,40.42779649,-3.710134496,Martes,Mañana,1716274800000,1716280200000,1716314723788,Esri_Madrid,1716314723788,Esri_Madrid,4
,Punto Limpio Móvil,,,"Glorieta Embajadores, 10 esquina calle Embajadores",esquina calle Embajadores,,Glorieta,,Embajadores,número,10,,,1,CENTRO,440360,4472982,40.40532,-3.70286,Sabado,Tarde,1716312600000,1716318000000,1716314723788,Esri_Madrid,1716314723788,Esri_Madrid,5
,Punto Limpio Móvil,,,"Calle Espíritu Santo, 26 Entro los números 26 y 28. Zona de carga y descarga",Entro los números 26 y 28. Zona de carga y descarga,,Calle,,Espíritu Santo,número,26,,,1,CENTRO,440311,4475218,40.42546013,-3.703639993,Sabado,Tarde,1716306300000,1716311700000,1716314723788,Esri_Madrid,1716314723788,Esri_Madrid,6
,Punto Limpio Móvil,,,"Plaza Lavapiés, 8 Zona de carga y descarga",Zona de carga y descarga,,Plaza,,Lavapiés,número,8,,,1,CENTRO,440499,4473354,40.40868013,-3.701249994,Sabado,Tarde,1716306300000,1716311700000,1716314723788,Esri_Madrid,1716314723788,Esri_Madrid,7
,Punto Limpio Móvil,,,"Calle Lope de Vega,  Frente al número 36",Frente al número 36,,Calle,,Lope de Vega,número,,,,1,CENTRO,440827,4473984,40.41438013,-3.697449994,Sabado,Mañana,1716281100000,1716286500000,1716314723788,Esri_Madrid,1716314723788,Esri_Madrid,8
,Punto Limpio Móvil,,,"Plaza Mayor, 29-30 Salida Calle Ciudad Rodrigo",Salida Calle Ciudad Rodrigo,,Plaza,,Mayor,número,29-30,,,1,CENTRO,440026,4474142,40.41574723,-3.706902053,Sabado,Mañana,1716287400000,1716292800000,1716314723788,Esri_Madrid,1716314723788,Esri_Madrid,9
,Punto Limpio Móvil,,,"Calle Príncipe, 18 ",,,Calle,,Príncipe,número,18,,,1,CENTRO,440580,4474086,40.41528547,-3.700364984,Martes,Tarde,1716306300000,1716311700000,1716314723788,Esri_Madrid,1716314723788,Esri_Madrid,10
,Punto Limpio Móvil,,,"Calle Ribera de Curtidores, 37- (A, B, C) ",,,Calle,,Ribera de Curtidores,número,"37- (A, B, C)",,,1,CENTRO,439996,4473123,40.40656682,-3.707154966,Martes,Tarde,1716318900000,1716324300000,1716314723788,Esri_Madrid,1716314723788,Esri_Madrid,11
,Punto Limpio Móvil,,,"Glorieta Ruíz Jiménez, 8 ",,,Glorieta,,Ruíz Jiménez,número,8,,,1,CENTRO,440138,4475639,40.42924193,-3.705722844,Martes,Mañana,1716281100000,1716286500000,1716314723788,Esri_Madrid,1716314723788,Esri_Madrid,12
,Punto Limpio Móvil,,,"Plaza Santa Bárbara, 5 ",,,Plaza,,Santa Bárbara,número,5,,,1,CENTRO,440928,4475438,40.42748313,-3.696388041,Martes,Tarde,1716300000000,1716305400000,1716314723788,Esri_Madrid,1716314723788,Esri_Madrid,13
,Punto Limpio Móvil,,,"Calle Santa Isabel, 47 ",,,Calle,,Santa Isabel,número,47,,,1,CENTRO,440935,4473450,40.40958069,-3.696127206,Martes,Mañana,1716293700000,1716299100000,1716314723788,Esri_Madrid,1716314723788,Esri_Madrid,14
,Punto Limpio Móvil,,,"Calle Segovia, 20 ",,,Calle,,Segovia,número,20,,,1,CENTRO,439571,4473948,40.41397013,-3.712239993,Martes,Tarde,1716312600000,1716318000000,1716314723788,Esri_Madrid,1716314723788,Esri_Madrid,15
,Punto Limpio Móvil,,,"Calle Silva, 25 ",,,Calle,,Silva,número,25,,,1,CENTRO,440134,4474823,40.4218911,-3.705691,Sabado,Tarde,1716312600000,1716318000000,1716314723788,Esri_Madrid,1716314723788,Esri_Madrid,16
,Punto Limpio Móvil,,,"Plaza Tirso de Molina, 16 Zona de carga y descarga",Zona de carga y descarga,,Plaza,,Tirso de Molina,número,16,,,1,CENTRO,440221,4473790,40.41259013,-3.704569993,Sabado,Mañana,1716293700000,1716299100000,1716314723788,Esri_Madrid,1716314723788,Esri_Madrid,17
,Punto Limpio Móvil,,,"Calle Arganda, 2 Frente al número 2",Frente al número 2,,Calle,,Arganda,número,2,,,2,ARGANZUELA,439813,4472287,40.399104,-3.709351,Martes,Tarde,1716306300000,1716311700000,1716314723788,Esri_Madrid,1716314723788,Esri_Madrid,18
,Punto Limpio Móvil,,,"calle Bustamante , 16 Edificio Ayuntamiento de Madrid",Edificio Ayuntamiento de Madrid,,calle,,Bustamante ,número,16,,,2,ARGANZUELA,441594,4472433,40.4004601355331,-3.68826187102883,Jueves,Mañana,1716281100000,1716286500000,1716314723788,Esri_Madrid,1716314723788,Esri_Madrid,19
,Punto Limpio Móvil,,,"calle Cerro de la Plata, 3 EMT",EMT,,calle,,Cerro de la Plata,número,3,,,2,RETIRO,442752,4472399,40.4002327303121,-3.6746135863849,Martes,Mañana,1716293700000,1716299100000,1716314723788,Esri_Madrid,1716314723788,Esri_Madrid,20
,Punto Limpio Móvil,,,"Paseo Chopera, 12 ",,,Paseo,,Chopera,número,12,,,2,ARGANZUELA,440756,4471631,40.39317945,-3.698067172,Sabado,Tarde,1716306300000,1716311700000,1716314723788,Esri_Madrid,1716314723788,Esri_Madrid,21
,Punto Limpio Móvil,,,"Calle Cobre,  Frente al número 5",Frente al número 5,,Calle,,Cobre,numero,,,,2,ARGANZUELA,441506,4471686,40.39373013,-3.689229994,Martes,Tarde,1716312600000,1716318000000,1716314723788,Esri_Madrid,1716314723788,Esri_Madrid,22
,Punto Limpio Móvil,,,"Paseo Delicias, 68 ",,,Paseo,,Delicias,número,68,,,2,ARGANZUELA,441080,4472315,40.39936013,-3.694309994,Martes,Mañana,1716293700000,1716299100000,1716314723788,Esri_Madrid,1716314723788,Esri_Madrid,23
,Punto Limpio Móvil,,,"Paseo Delicias, 24 ",,,Paseo,,Delicias,número,24,,,2,ARGANZUELA,441144,4472990,40.4054452,-3.693616009,Sabado,Mañana,1716293700000,1716299100000,1716314723788,Esri_Madrid,1716314723788,Esri_Madrid,24
,Punto Limpio Móvil,,,"Paseo Delicias, 122 ",,,Paseo,,Delicias,número,122,,,2,ARGANZUELA,441031,4471817,40.39487516,-3.694841268,Sabado,Tarde,1716300000000,1716305400000,1716314723788,Esri_Madrid,1716314723788,Esri_Madrid,25
,Punto Limpio Móvil,,,"Calle Embajadores, 274 ",,,Calle,,Embajadores,número,274,,,2,ARGANZUELA,441501,4470772,40.38549013,-3.689209994,Martes,Tarde,1716318900000,1716324300000,1716314723788,Esri_Madrid,1716314723788,Esri_Madrid,26
