OBJECTID,Codigo_Interno_del_Situad,Tipo_Contenedor,Modelo,Descripcion_Modelo,Cantidad,Lote,Distrito,Barrio,Tipo_Via,Nombre,Numero,Coordenada_X,Coordenada_Y,Longitud,Latitud,Direccion
2,,RESTO,R0800CT,,,2,HORTALEZA,PINAR DEL REY,,,,445183.6872,4481147.125,-364672152,40.47920326,
3,,RESTO,R0800CT,,,2,HORTALEZA,PINAR DEL REY,,,,445183.7882,4481147.446,-364672035,40.47920617,
4,,RESTO,R0800CT,,,2,HORTALEZA,PINAR DEL REY,,,,445207.0,4481124.0,-364644449,40.47899648,
5,,RESTO,R0800CT,,,2,HORTALEZA,PINAR DEL REY,,,,444913.3554,4481010.887,-364989885,40.47795808,
10,,RESTO,R0800CT,,,2,HORTALEZA,PINAR DEL REY,,,,444743.0,4480206.0,-365183842,40.47069596,
13,,RESTO,R0800CT,,,2,HORTALEZA,PINAR DEL REY,,,,444726.0,4480355.0,-365205193,40.47203709,
16,,RESTO,R0800CT,,,2,HORTALEZA,PINAR DEL REY,,,,445437.0,4480547.0,-364368148,40.47381373,
22,,RESTO,R0800CT,,,2,HORTALEZA,PINAR DEL REY,,,,445486.0,4480555.0,-364310415,40.47388902,
26,,RESTO,R0800CT,,,2,HORTALEZA,PINAR DEL REY,,,,445164.9527,4480611.08,-364689618,40.47437308,
805,,RESTO,E0800CT,,,2,HORTALEZA,PINAR DEL REY,,,,444681.0,4480322.0,-365257987,40.47173681,
818,,RESTO,E0800CT,,,2,HORTALEZA,PINAR DEL REY,,,,444706.7584,4480331.584,-365227686,40.47182487,
829,,RESTO,E0800CT,,,2,HORTALEZA,PINAR DEL REY,,,,444969.3365,4480212.993,-364916921,40.47077398,
3404,,RESTO,R0800CT,,,1,TETUAN,BERRUGUETE,,,,439726.59,4478858.26,-371088227,40.45820615,
5001,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,VALVERDE,,,,440950.72,4483019.89,-369683305,40.49578362,
5002,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,EL GOLOSO,,,,441787.0951,4488932.405,-368750774,40.54910464,
5003,,RESTO,R0800CT,,,2,HORTALEZA,PINAR DEL REY,,,,444698.9992,4480416.959,-365237583,40.47259345,
5004,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,PEÑAGRANDE,,,,438282.43,4481587.71,-372817937,40.48268796,
5005,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,VALVERDE,,,,441610.46,4482853.06,-368903271,40.49432743,
5006,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,EL GOLOSO,,,,441773.6498,4489019.591,-368767456,40.54988909,
5007,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,VALVERDE,,,,440950.72,4483019.89,-369683305,40.49578362,
5008,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,PEÑAGRANDE,,,,438758.95,4481654.09,-372256396,40.48332122,
5009,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,PEÑAGRANDE,,,,438778.54,4481459.38,-372231403,40.48156865,
5010,,RESTO,R0800CT,,,2,CHAMARTIN,CASTILLA,,,,441790.0,4480165.0,-368666737,40.47012492,
5011,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,PEÑAGRANDE,,,,438282.43,4481587.71,-372817937,40.48268796,
5012,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,PEÑAGRANDE,,,,438918.44,4481520.21,-372066943,40.48212693,
5013,,RESTO,R0800CT,,,2,HORTALEZA,PINAR DEL REY,,,,445280.1234,4480581.308,-364553501,40.47411247,
5014,,RESTO,R0800CT,,,2,CHAMARTIN,HISPANOAMERICA,,,,443536.0,4478843.0,-366595459,40.45833624,
5015,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,VALVERDE,,,,441642.83,4481875.6,-368856074,40.48552437,
5016,,RESTO,R0800CT,,,2,CHAMARTIN,PROSPERIDAD,,,,443816.0,4477546.0,-366253763,40.44667121,
5017,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,PEÑAGRANDE,,,,438387.98,4481720.15,-372694700,40.48388886,
5018,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,EL GOLOSO,,,,441720.2479,4488936.147,-368829752,40.54913365,
5019,,RESTO,R0800CT,,,1,LATINA,CARMENES,,,,437306.11,4471831.69,-373873503,40.39472901,
5020,,RESTO,R0800CT,,,2,CHAMARTIN,HISPANOAMERICA,,,,443494.0,4478744.0,-366644111,40.45744155,
5021,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,PEÑAGRANDE,,,,437577.9448,4481121.484,-373644475,40.47843539,
5022,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,PEÑAGRANDE,,,,438778.54,4481459.38,-372231403,40.48156865,
5023,,RESTO,R0800CT,,,1,LATINA,CARMENES,,,,437306.11,4471831.69,-373873503,40.39472901,
5024,,RESTO,R0800CT,,,2,CHAMARTIN,CASTILLA,,,,441934.0,4480598.0,-368500844,40.47403564,
5025,,RESTO,R0800CT,,,2,CHAMARTIN,CIUDAD JARDIN,,,,443028.0,4477899.0,-367186101,40.44979757,
5026,,RESTO,R0800CT,,,2,CHAMARTIN,CASTILLA,,,,441922.0,4480968.0,-368518388,40.47736792,
5027,,RESTO,R0800CT,,,2,CHAMARTIN,CASTILLA,,,,441982.0,4481022.0,-368448101,40.47785857,
5028,,RESTO,R0800CT,,,2,CHAMARTIN,CASTILLA,,,,441999.0,4481146.0,-368429180,40.4789768,
5029,,RESTO,R0800CT,,,2,CHAMARTIN,PROSPERIDAD,,,,442557.0,4476666.0,-367730357,40.4386577,
5030,,RESTO,R0800CT,,,2,CHAMARTIN,CASTILLA,,,,441716.8799,4480303.152,-368754255,40.47136432,
5031,,RESTO,R0800CT,,,2,CHAMARTIN,CIUDAD JARDIN,,,,443236.0,4478003.0,-366941756,40.45074869,
5032,,RESTO,R0800CT,,,2,CHAMARTIN,PROSPERIDAD,,,,442733.0,4476801.0,-367524068,40.43988599,
5033,,RESTO,R0800CT,,,2,CHAMARTIN,CASTILLA,,,,441767.0,4480061.0,-368692912,40.46918643,
5034,,RESTO,R0800CT,,,2,CHAMARTIN,CASTILLA,,,,441767.0,4480061.0,-368692912,40.46918643,
5035,,RESTO,R0800CT,,,2,CHAMARTIN,CASTILLA,,,,441821.0,4480171.0,-368630225,40.47018114,
5036,,RESTO,R0800CT,,,2,CHAMARTIN,CASTILLA,,,,441995.1833,4480814.1,-368430647,40.47598664,
5037,,RESTO,R0800CT,,,2,CHAMARTIN,CASTILLA,,,,441934.6452,4480597.022,-368500074,40.47402688,
5038,,RESTO,R0800CT,,,2,CHAMARTIN,CASTILLA,,,,441821.0,4480422.0,-368632527,40.47244226,
5039,,RESTO,R0800CT,,,2,CHAMARTIN,PROSPERIDAD,,,,442578.0,4476691.0,-367705823,40.43888437,
5040,,RESTO,R0800CT,,,2,CHAMARTIN,CASTILLA,,,,441807.0,4480111.0,-368646189,40.46963966,
5041,,RESTO,R0800CT,,,2,CHAMARTIN,CASTILLA,,,,441973.0244,4481305.385,-368461282,40.48041079,
5042,,RESTO,R0800CT,,,2,CHAMARTIN,PROSPERIDAD,,,,442554.5193,4476813.196,-367734612,40.43998354,
5043,,RESTO,R0800CT,,,2,CHAMARTIN,CASTILLA,,,,441786.0,4480143.0,-368671253,40.46992645,
5044,,RESTO,R0800CT,,,2,CHAMARTIN,PROSPERIDAD,,,,442618.0,4476721.0,-367658934,40.43915738,
5045,,RESTO,R0800CT,,,2,CIUDAD LINEAL,VENTAS,,,,444719.3572,4474974.198,-365166193,40.42356359,
5046,,RESTO,R0800CT,,,2,CHAMARTIN,CASTILLA,,,,441995.0,4480814.0,-368430862,40.47598572,
5047,,RESTO,R0800CT,,,2,CHAMARTIN,CASTILLA,,,,441812.0,4480629.0,-368645043,40.47430637,
5048,,RESTO,R0800CT,,,2,CHAMARTIN,CASTILLA,,,,441973.0,4481201.0,-368460356,40.47947044,
5049,,RESTO,R0800CT,,,2,CHAMARTIN,CASTILLA,,,,441805.0,4480433.0,-368651502,40.47254023,
5050,,RESTO,R0800CT,,,2,CHAMARTIN,HISPANOAMERICA,,,,443588.0,4478738.0,-366533200,40.45739389,
5051,,RESTO,R0800CT,,,2,CHAMARTIN,CASTILLA,,,,441795.0,4480273.0,-368661830,40.47109818,
5052,,RESTO,R0800CT,,,2,CHAMARTIN,CASTILLA,,,,441928.0,4481204.0,-368513471,40.47949432,
5053,,RESTO,R0800CT,,,2,CHAMARTIN,CASTILLA,,,,441859.0,4480449.0,-368587950,40.47268814,
5054,,RESTO,R0800CT,,,2,CHAMARTIN,PROSPERIDAD,,,,442554.5193,4476813.196,-367734612,40.43998354,
5055,,RESTO,R0800CT,,,2,CHAMARTIN,HISPANOAMERICA,,,,443645.0,4478740.0,-366465995,40.45741577,
5056,,RESTO,R0800CT,,,2,CHAMARTIN,HISPANOAMERICA,,,,443619.0,4478461.0,-366494180,40.45490064,
5057,,RESTO,R0800CT,,,2,CHAMARTIN,PROSPERIDAD,,,,443816.0,4477546.0,-366253763,40.44667121,
5058,,RESTO,R0800CT,,,2,CHAMARTIN,HISPANOAMERICA,,,,443492.0,4478309.0,-366642598,40.45352272,
5059,,RESTO,R0800CT,,,2,CHAMARTIN,PROSPERIDAD,,,,442557.0,4476666.0,-367730357,40.4386577,
5060,,RESTO,R0800CT,,,2,CHAMARTIN,PROSPERIDAD,,,,442577.0,4476691.0,-367707002,40.4388843,
5061,,RESTO,R0800CT,,,2,CHAMARTIN,PROSPERIDAD,,,,443705.0,4477757.0,-366386519,40.44856449,
5062,,RESTO,R0800CT,,,2,CHAMARTIN,HISPANOAMERICA,,,,443566.0,4478780.0,-366559519,40.45777075,
5063,,RESTO,R0800CT,,,2,CHAMARTIN,PROSPERIDAD,,,,443705.0,4477757.0,-366386519,40.44856449,
5064,,RESTO,R0800CT,,,2,CHAMARTIN,CIUDAD JARDIN,,,,443236.0,4478003.0,-366941756,40.45074869,
5065,,RESTO,R0800CT,,,2,CHAMARTIN,CIUDAD JARDIN,,,,443236.0,4478003.0,-366941756,40.45074869,
5066,,RESTO,R0800CT,,,2,CHAMARTIN,HISPANOAMERICA,,,,443624.0,4478563.0,-366489189,40.45581984,
5067,,RESTO,R0800CT,,,2,CHAMARTIN,HISPANOAMERICA,,,,443618.0,4478619.0,-366496763,40.45632391,
5068,,RESTO,R0800CT,,,2,CHAMARTIN,HISPANOAMERICA,,,,443607.0,4478614.0,-366509691,40.45627812,
5069,,RESTO,R0800CT,,,2,CHAMARTIN,HISPANOAMERICA,,,,443505.0,4478624.0,-366630070,40.45636128,
