OBJECTID,Codigo_Interno_del_Situad,Tipo_Contenedor,Modelo,Descripcion_Modelo,Cantidad,Lote,Distrito,Barrio,Tipo_Via,Nombre,Numero,Coordenada_X,Coordenada_Y,Longitud,Latitud,Direccion
849,,VIDRIO,V2200CL,,,1,LATINA,PUERTA DEL ANGEL,,,,437215.59,4473269.22,-373994334,40.40767207,
850,,VIDRIO,V2200CL,,,1,LATINA,PUERTA DEL ANGEL,,,,437022.16,4472933.89,-374218964,40.40463667,
851,,VIDRIO,V2200CL,,,1,LATINA,PUERTA DEL ANGEL,,,,437502.89,4473034.38,-373653458,40.40557815,
852,,VIDRIO,V2200CL,,,1,LATINA,PUERTA DEL ANGEL,,,,437502.89,4473034.38,-373653458,40.40557815,
853,,VIDRIO,V2200CL,,,1,LATINA,PUERTA DEL ANGEL,,,,437626.46,4473776.13,-373515112,40.41226941,
854,,VIDRIO,V2200CL,,,1,LATINA,PUERTA DEL ANGEL,,,,437494.96,4473374.42,-373666143,40.40864078,
855,,VIDRIO,V2200CL,,,1,LATINA,PUERTA DEL ANGEL,,,,437623.11,4473284.47,-373514240,40.40784008,
856,,VIDRIO,V2200CL,,,1,LATINA,PUERTA DEL ANGEL,,,,437777.33,4473399.86,-373333626,40.40889111,
857,,VIDRIO,V2200CL,,,1,LATINA,PUERTA DEL ANGEL,,,,437468.89,4473591.72,-373699001,40.41059635,
858,,VIDRIO,V2200CL,,,1,LATINA,PUERTA DEL ANGEL,,,,437699.87,4473028.37,-373421274,40.40553877,
859,,VIDRIO,V2200CL,,,1,LATINA,PUERTA DEL ANGEL,,,,438051.91,4473420.44,-373010241,40.40909698,
860,,VIDRIO,V2200CL,,,1,LATINA,PUERTA DEL ANGEL,,,,437288.62,4473271.11,-373908290,40.4076946,
861,,VIDRIO,V2200CL,,,1,LATINA,PUERTA DEL ANGEL,,,,438098.52,4473334.01,-372954471,40.40832185,
862,,VIDRIO,V2200CL,,,1,LATINA,PUERTA DEL ANGEL,,,,438329.4936,4473783.752,-372686635,40.41239046,
863,,VIDRIO,V2200CL,,,1,LATINA,PUERTA DEL ANGEL,,,,438494.56,4473883.9,-372493066,40.41330485,
