distrito,poblacion,superficie_ha,densidad,suma_residuos
ARGANZUELA,153304,646.22,237.23190244808268,17245.959000000003
RETIRO,117918,546.62,215.7220738355713,23766.947
SALAMANCA,145702,539.24,270.19879830873083,23631.939
CHAMARTÍN,144796,917.55,157.80720396708628,19982.958
TETUÁN,160002,537.47,297.69475505609614,24668.153000000002
CHAMBERÍ,138204,467.92,295.35818088562144,24660.64
LATINA,241672,2542.72,95.04467656682608,25938.591000000004
CARABANCHEL,262339,1404.83,186.7407444317106,23294.169
USERA,142746,777.77,183.53240675263896,64786.09
PUENTE DE VALLECAS,241603,1496.86,161.40654436620662,2350.226
MORATALAZ,92814,610.32,152.07432166732204,17468.441
CIUDAD LINEAL,220345,1142.57,192.8503286450721,19789.416999999998
HORTALEZA,198391,2741.98,72.35319003056186,23515.673
VILLAVERDE,159038,2018.76,78.78004319483247,18013.982000000004
VILLA DE VALLECAS,117501,5146.72,22.830268598252868,1177.5990000000002
VICÁLVARO,83804,3526.67,23.76292650006947,11242.958
BARAJAS,48646,4192.28,11.60370967588043,12705.268
